2022-07-17 14:51:27,787 | INFO | ulauncher: main() | Ulauncher version 5.14.5
2022-07-17 14:51:27,787 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-07-17 14:51:27,787 | INFO | ulauncher: main() | GTK+ 3.24.34
2022-07-17 14:51:27,787 | INFO | ulauncher: main() | Is Wayland: False
2022-07-17 14:51:27,787 | INFO | ulauncher: main() | Wayland compatibility: off
2022-07-17 14:51:27,801 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-07-17 14:51:27,805 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-07-17 14:51:27,805 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-07-17 14:51:27,805 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-07-17 14:51:27,806 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-07-17 14:51:27,807 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-07-17 14:51:27,807 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-07-17 14:51:27,807 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-07-17 14:51:27,807 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-07-17 14:51:27,807 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-07-17 14:51:27,808 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 14:51:27,808 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 14:51:27,808 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 14:51:27,809 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 14:51:27,833 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:51:27,835 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2022-07-17 14:51:27,836 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2022-07-17 14:51:27,848 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.nastuzzisamy.ulauncher-translate" started. PID 1498
2022-07-17 14:51:27,849 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.pywkm.ulauncher-spotify" started. PID 1500
2022-07-17 14:51:27,850 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.fajtak.ulauncher-weather" started. PID 1502
2022-07-17 14:51:27,851 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-kill" started. PID 1504
2022-07-17 14:51:27,852 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.noam09.ulauncher-units" started. PID 1506
2022-07-17 14:51:27,853 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-emoji" started. PID 1508
2022-07-17 14:51:27,854 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.melianmiko.ulauncher-nmcli" started. PID 1510
2022-07-17 14:51:27,855 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.iboyperson.ulauncher-system" started. PID 1512
2022-07-17 14:51:27,856 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.friday.ulauncher-clipboard" started. PID 1514
2022-07-17 14:51:27,857 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ikorjefocur.ulauncher-commandrunner" started. PID 1516
2022-07-17 14:51:27,862 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2022-07-17 14:51:27,865 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 51 apps in cache
2022-07-17 14:51:27,878 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 51 apps in the system
2022-07-17 14:51:27,878 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.04 seconds
2022-07-17 14:51:27,885 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2022-07-17 14:51:27,896 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-kill" exited instantly with code 1
2022-07-17 14:51:27,896 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-kill" failed with an error: ValueError: Namespace Notify not available for version 0.7

2022-07-17 14:51:27,906 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.friday.ulauncher-clipboard" exited instantly with code 1
2022-07-17 14:51:27,906 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.friday.ulauncher-clipboard" failed with an error: ValueError: Namespace Notify not available for version 0.7

